Ticker,Description,Price,Change %,Technical Rating,Volume,Change from Open %,Volume*Price,Market Capitalization,Number of Employees,Sector,Industry,"Change 1M, %","Change 1W, %",Exchange
6100,TONGDAO LIEPIN GROUP,9.49,-3.94736842,Buy,870600,-3.94736842,8261994,5116735313,5789,Commercial Services,Personnel Services,20.12658228,-3.94736842,HKEX
6127,JOINN LABORATORIES (CHINA) CO LTD,37.05,-3.1372549,Sell,220792,-1.72413793,8180343.6,33225458269.000004,2140,Health Technology,Biotechnology,2.48962089,-3.1372549,HKEX
2314,LEE & MAN PAPER MANUFACTURING LTD,3.29,2.17391304,Buy,2482000,2.17391304,8165780,13876799235,11000,Process Industries,Pulp & Paper,9.30232558,2.17391304,HKEX
9863,ZHEJIANG LEAPMOTOR TECHNOLOGY CO,28.7,-6.36215334,Buy,284300,-3.04054054,8159410,35023900000,3190,Consumer Durables,Motor Vehicles,28.125,-6.36215334,HKEX
1072,DONGFANG ELECTRIC CORPORATION LTD.,12.92,-1.22324159,Neutral,624800,-1.0719755,8072416,69324967347,16969,Producer Manufacturing,Electrical Products,-7.44985673,-1.22324159,HKEX
6066,CSC FINANCIAL CO LTD,7.02,-1.81818182,Buy,1124000,-0.98730606,7890480,195662272075,11778,Finance,Investment Managers,2.03488372,-1.81818182,HKEX
754,HOPSON DEVELOPMENT HLDGS,9.68,-2.71356784,Buy,799800,-2.81124498,7742064,28587709804,11775,Finance,Real Estate Development,9.00900901,-2.71356784,HKEX
187,BEIJING JINGCHENG MACHINERY ELC CO,3.38,-4.78873239,Neutral,2228000,-5.84958217,7530640,8108630026,1264,Producer Manufacturing,Industrial Machinery,-2.31213873,-4.78873239,HKEX
1119,IDREAMSKY TECHNOLOGY HLDGS LTD,3.94,-2.71604938,Buy,1882800,2.33766234,7418232,5715911310,1113,Technology Services,Packaged Software,-0.75566751,-2.71604938,HKEX
1735,CENTRAL HOLDING GROUP CO,17.64,-1.78173173,Buy,404000,-1.34228188,7126560,18965759033,468,Industrial Services,Engineering & Construction,10.8040201,-1.78173173,HKEX
3633,ZHONGYU ENERGY HOLDINGS LTD,5.63,0.35650624,Neutral,1254000,-1.22807018,7060020,15897799443,4876,Utilities,Gas Distributors,-2.42634315,0.35650624,HKEX
6606,NEW HORIZON HEALTH LTD,19.6,-1.01009601,Neutral,341000,-1.01010101,6683600,8513840150,462,Health Services,Medical/Nursing Services,-4.62286641,-1.01009601,HKEX
9979,GREENTOWN MGMT HLDGS CO LTD,6.22,-2.8125,Buy,1056000,-0.48,6568320,12634681438,1462,Commercial Services,Miscellaneous Commercial Services,-9.59302326,-2.8125,HKEX
956,CHINA SUNTIEN GREEN ENERGY CORP LTD,3.16,-1.25,Sell,2068000,-1.25,6534880,33451400630.999996,2489,Utilities,Gas Distributors,-2.16718266,-1.25,HKEX
1789,AK MEDICAL HLDGS LTD,8.59,2.26190476,Buy,759000,4.50121655,6519810,9355734390,908,Health Technology,Medical Specialties,11.70351105,2.26190476,HKEX
2611,GUOTAI JUNAN SECURITIES CO LTD,9.07,-1.52008686,Buy,697200,-1.62689805,6323604,131935684102,13341,Finance,Investment Banks/Brokers,-0.220022,-1.52008686,HKEX
751,SKYWORTH GROUP LTD,3.09,-2.52365931,Buy,2028000,-2.83018868,6266520,8195088685.999999,34000,Electronic Technology,Telecommunications Equipment,4.74576271,-2.52365931,HKEX
6655,HUAXIN CEMENT CO LTD,8.92,1.36363636,Strong Buy,694500,1.36363636,6194940,30018698044,16283,Non-Energy Minerals,Construction Materials,8.25242718,1.36363636,HKEX
3309,C-MER EYE CARE HLDGS LTD,4.98,0,Buy,1232000,0.60606061,6135360,6307463037,1461,Health Services,Medical/Nursing Services,22.66009852,0,HKEX
144,CHINA MERCHANTS PORT HLDGS LTD,11.48,0.34965035,Buy,532260,0.17452007,6110344.8,45798700488,8495,Transportation,Other Transportation,1.2345679,0.34965035,HKEX
6660,AIM VACCINE CO LTD,23.05,-7.8,Sell,258800,-5.91836735,5965340,30242800000,1578,Health Technology,Biotechnology,3.59550562,-7.8,HKEX
1108,LUOYANG GLASS CO,8.81,-3.08030803,Sell,664811,-2.11111111,5856984.91,11700363012,3857,Consumer Durables,Home Furnishings,-6.47558386,-3.08030803,HKEX
1112,HEALTH & HAPPINESS (H&H) INTL HLDGS,13.84,-0.28818444,Buy,421000,-0.57471264,5826640,8955529581,3315,Consumer Non-Durables,Food: Meat/Fish/Dairy,47.23404255,-0.28818444,HKEX
6837,HAITONG SECURITIES CO LTD,4.93,-1.79282869,Buy,1123200,-1.98807157,5537376,115536244407,11631,Finance,Investment Banks/Brokers,2.70833333,-1.79282869,HKEX
3396,LEGEND HOLDINGS CORPORATION,8.4,0,Buy,644600,0.5988024,5414640,19792338778,88000,Finance,Financial Conglomerates,5.52763819,0,HKEX
9997,KANGJI MEDICAL HLDGS LTD,8.34,1.33657351,Buy,642500,0.72463768,5358450,9901524304,725,Health Technology,Medical Specialties,6.51340996,1.33657351,HKEX
683,KERRY PROPERTIES LTD,16.56,-1.89572879,Buy,321000,-1.54577883,5315760,24498040452,7600,Finance,Real Estate Development,11.29032258,-1.89572879,HKEX
6639,ARRAIL GROUP LTD,8.96,-2.60869565,Buy,591500,-9.85915493,5299840,5350645543,3336,Health Services,Medical/Nursing Services,25.31468531,-2.60869565,HKEX
1478,Q TECHNOLOGY GROUP CO LTD,4.51,-6.43153527,Buy,1163000,-6.23700624,5245130,5709475543,12880,Electronic Technology,Electronic Components,12.75,-6.43153527,HKEX
327,PAX GLOBAL TECHNOLOGY LIMITED,6.55,-3.39233038,Sell,793000,-3.39233038,5194150,7320331448,1654,Electronic Technology,Computer Processing Hardware,-1.5037594,-3.39233038,HKEX
2877,CHINA SHINEWAY PHARMACEUTICAL GR,7.81,3.44370861,Strong Buy,648000,5.68335589,5060880,5703270328,3674,Health Technology,Pharmaceuticals: Other,10.9375,3.44370861,HKEX
1860,MOBVISTA INC,4.4,1.61662818,Buy,1149000,3.52941176,5055600,7001469278,925,Technology Services,Packaged Software,8.91089109,1.61662818,HKEX
710,BOE VARITRONIX LTD,13.1,-3.10650888,Sell,383000,-2.96296296,5017300,10695540001,3725,Electronic Technology,Electronic Production Equipment,-6.96022727,-3.10650888,HKEX
1907,CHINA RISUN GRP LTD,3.14,-1.875,Buy,1584000,-1.875,4973760,14162412711,7678,Energy Minerals,Oil & Gas Production,-1.56739812,-1.875,HKEX
87,SWIRE PACIFIC,9.89,-2.07920792,Buy,502500,-1.29740519,4969725,85921194662,32560,Consumer Non-Durables,Beverages: Non-Alcoholic,5.54962647,-2.07920792,HKEX
3931,CALB CO LTD,20,-5.21327014,Sell,248400,-2.91262136,4968000,37395600000,3222,Producer Manufacturing,Electrical Products,3.41261634,-5.21327014,HKEX
3709,EEKA FASHION HLDGS LTD,10.22,-0.96899225,Buy,482000,-1.35135135,4926040,7036864128,10335,Retail Trade,Apparel/Footwear Retail,2.2,-0.96899225,HKEX
1691,JS GLOBAL LIFESTYLE COMPANY LTD,9.5,-3.74873354,Buy,518000,-2.26337449,4921000,34491823047,5582,Consumer Durables,Electronics/Appliances,9.57324106,-3.74873354,HKEX
3799,DALI FOODS GROUP COMPANY LIMITED,3.63,-0.54794521,Buy,1275000,-0.54794521,4628250,49983532605,40745,Consumer Non-Durables,Food: Specialty/Candy,-1.62601626,-0.54794521,HKEX
1858,BEIJING CHUNLIZHENGDA MED INST CO,15.7,-0.50697085,Buy,294000,0.51216389,4615800,9234770794,951,Health Technology,Medical Specialties,10.09817672,-0.50697085,HKEX
6178,EVERBRIGHT SECURITIES COMPANY LTD,5.52,-1.42857143,Buy,824000,-1.42857143,4548480,74227896786,8760,Finance,Investment Banks/Brokers,1.28440367,-1.42857143,HKEX
9996,PEIJIA MEDICAL LIMITED,9.44,0.96256684,Buy,476000,0,4493440,6321459700,689,Health Technology,Medical Specialties,22.12160414,0.96256684,HKEX
1563,INTERNATIONAL ALLIANCE FN LS CO LTD,5.1,3.86965377,Buy,879500,3.03030303,4485450,7364999771,32,Finance,Finance/Rental/Leasing,16.17312073,3.86965377,HKEX
